Fecha;Equipo_Local;Goles_Local;Goles_Visitante;Equipo_Visitante
1/3/2024;Boca Juniors;1;3;River Plate
1/3/2024;Racing Club;2;2;Independiente
8/3/2024;San Lorenzo;1;0;Huracan
8/3/2024;Velez Sarsfield;4;1;Banfield
15/3/2024;River Plate;2;1;Racing Club
15/3/2024;Independiente;0;3;Boca Juniors
22/3/2024;Huracan;1;2;Velez Sarsfield
22/3/2024;Banfield;0;2;San Lorenzo
29/3/2024;Boca Juniors;1;1;San Lorenzo
29/3/2024;Racing Club;3;0;Banfield
5/4/2024;River Plate;2;1;Independiente
5/4/2024;Velez Sarsfield;2;0;Huracan
12/4/2024;Huracan;2;3;Boca Juniors
12/4/2024;San Lorenzo;1;2;Racing Club
19/4/2024;Independiente;1;1;Velez Sarsfield
19/4/2024;Banfield;0;3;River Plate
26/4/2024;Boca Juniors;2;0;Velez Sarsfield
26/4/2024;Racing Club;1;1;Huracan
3/5/2024;River Plate;3;2;San Lorenzo
3/5/2024;Independiente;2;0;Banfield
